sensor_frame_index,sensor_timestamp,actual_exposure_us,requested_exposure_us,analogue_gain,stream,output_frame_index,pts_ms,elapsed_ms,frame_unix_ms,recording_start_iso8601,frame_time_iso8601,mean_luma
98,14910438432000,994.0,1000,1.00,B,33,1681.096,1681.096,1789131957971.722,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.971722+04:00,15.9
99,14910452327000,994.0,1000,1.00,B,34,1694.991,1694.991,1789131957985.617,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.985617+04:00,15.9
100,14910466219000,994.0,1000,1.00,B,35,1708.883,1708.883,1789131957999.509,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.999509+04:00,15.9
101,14910480113000,9992.0,10000,1.00,A,36,1722.777,1722.777,1789131958013.403,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.013403+04:00,85.1
102,14910494005000,9992.0,10000,1.00,A,37,1736.669,1736.669,1789131958027.295,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.027295+04:00,85.1
103,14910507899000,9992.0,10000,1.00,A,38,1750.563,1750.563,1789131958041.189,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.041189+04:00,85.1
104,14910521793000,994.0,1000,1.00,B,36,1764.457,1764.457,1789131958055.083,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.055083+04:00,15.9
105,14910535685000,994.0,1000,1.00,B,37,1778.349,1778.349,1789131958068.975,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.068975+04:00,15.9
106,14910549579000,994.0,1000,1.00,B,38,1792.243,1792.243,1789131958082.869,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.082869+04:00,15.9
107,14910563474000,9992.0,10000,1.00,A,39,1806.138,1806.138,1789131958096.764,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.096764+04:00,85.1
108,14910577365000,9992.0,10000,1.00,A,40,1820.029,1820.029,1789131958110.655,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.110655+04:00,85.1
109,14910591259000,9992.0,10000,1.00,A,41,1833.923,1833.923,1789131958124.549,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.124549+04:00,85.1
110,14910605154000,994.0,1000,1.00,B,39,1847.818,1847.818,1789131958138.444,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.138444+04:00,15.9
111,14910619045000,994.0,1000,1.00,B,40,1861.709,1861.709,1789131958152.335,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.152335+04:00,15.9
112,14910632939000,994.0,1000,1.00,B,41,1875.603,1875.603,1789131958166.229,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.166229+04:00,15.9
113,14910646834000,9992.0,10000,1.00,A,42,1889.498,1889.498,1789131958180.124,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.180124+04:00,85.0
114,14910660728000,9992.0,10000,1.00,A,43,1903.392,1903.392,1789131958194.018,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.194018+04:00,84.9
115,14910674619000,9992.0,10000,1.00,A,44,1917.283,1917.283,1789131958207.909,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.207909+04:00,84.9
116,14910688515000,994.0,1000,1.00,B,42,1931.179,1931.179,1789131958221.805,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.221805+04:00,15.9
117,14910702406000,994.0,1000,1.00,B,43,1945.070,1945.070,1789131958235.696,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.235696+04:00,15.9
118,14910716299000,994.0,1000,1.00,B,44,1958.963,1958.963,1789131958249.589,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.249589+04:00,15.9
119,14910730196000,9992.0,10000,1.00,A,45,1972.860,1972.860,1789131958263.486,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.263486+04:00,84.9
120,14910744086000,9992.0,10000,1.00,A,46,1986.750,1986.750,1789131958277.376,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.277376+04:00,84.9
121,14910757982000,9992.0,10000,1.00,A,47,2000.646,2000.646,1789131958291.272,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.291272+04:00,84.8
122,14910771874000,994.0,1000,1.00,B,45,2014.538,2014.538,1789131958305.164,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.305164+04:00,15.9
123,14910785767000,994.0,1000,1.00,B,46,2028.431,2028.431,1789131958319.057,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.319057+04:00,15.8
124,14910799660000,994.0,1000,1.00,B,47,2042.324,2042.324,1789131958332.950,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.332950+04:00,15.8
125,14910813557000,9992.0,10000,1.00,A,48,2056.221,2056.221,1789131958346.847,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.346847+04:00,84.1
126,14910827447000,9992.0,10000,1.00,A,49,2070.111,2070.111,1789131958360.737,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.360737+04:00,84.1
127,14910841340000,9992.0,10000,1.00,A,50,2084.004,2084.004,1789131958374.630,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.374630+04:00,84.2
