session_id,sequence_id,sample_id,sample_source,timestamp_seconds,unity_frame,left_device_id,left_is_tracked,left_tracking_state,left_pose_valid,left_px,left_py,left_pz,left_qx,left_qy,left_qz,left_qw,right_device_id,right_is_tracked,right_tracking_state,right_pose_valid,right_px,right_py,right_pz,right_qx,right_qy,right_qz,right_qw,pair_valid
20260911_130547_284_P01,seq_0001,2290,BeforeRender,63.395303104,4475,67,1,15,1,-1.47948384,-0.0376321711,-0.503348947,-0.570846498,0.330376625,-0.00051474577,-0.751655161,68,1,15,1,-1.70039439,0.100699812,-0.407102197,0.349223554,0.548126757,-0.526166916,0.54840529,1
20260911_130547_284_P01,seq_0001,2291,BeforeRender,63.409225104,4476,67,1,15,1,-1.47600496,-0.0381844565,-0.505679429,-0.578294814,0.301935971,0.00295235263,-0.757892609,68,1,15,1,-1.7003988,0.100889467,-0.412573338,0.347575426,0.544992566,-0.522504091,0.556025088,1
20260911_130547_284_P01,seq_0001,2292,BeforeRender,63.423143004,4477,67,1,15,1,-1.47335649,-0.0391592868,-0.507746398,-0.588490069,0.279466867,0.00714330468,-0.758634865,68,1,15,1,-1.70029879,0.101123929,-0.418174595,0.349907786,0.535705328,-0.521193027,0.564749777,1
20260911_130547_284_P01,seq_0001,2293,BeforeRender,63.437205504,4478,67,1,15,1,-1.47048151,-0.0413674638,-0.509501457,-0.600495696,0.259995311,0.010160462,-0.756111324,68,1,15,1,-1.70027399,0.100835547,-0.423153609,0.355225861,0.529795527,-0.520549953,0.567590654,1
20260911_130547_284_P01,seq_0001,2294,BeforeRender,63.451044804,4479,67,1,15,1,-1.46706891,-0.0454674475,-0.510854006,-0.614158928,0.242817968,0.0112102563,-0.750814736,68,1,15,1,-1.70032287,0.099867098,-0.428108335,0.367128283,0.516458571,-0.525345385,0.567890584,1
20260911_130547_284_P01,seq_0001,2295,BeforeRender,63.464993404,4480,67,1,15,1,-1.46389401,-0.0488768667,-0.512277365,-0.625670671,0.22337313,0.0132954195,-0.74730444,68,1,15,1,-1.69969821,0.0980452001,-0.432950526,0.37926507,0.502167821,-0.539119005,0.559764385,1
20260911_130547_284_P01,seq_0001,2296,BeforeRender,63.478873504,4481,67,1,15,1,-1.46022356,-0.0514639318,-0.513640285,-0.633817792,0.201090738,0.0157870948,-0.746718407,68,1,15,1,-1.69903827,0.096547313,-0.43769151,0.386951923,0.490006924,-0.551440597,0.553240299,1
20260911_130547_284_P01,seq_0001,2297,BeforeRender,63.492838404,4482,67,1,15,1,-1.45603025,-0.0529280379,-0.515051484,-0.636542916,0.174179748,0.0191963259,-0.751070023,68,1,15,1,-1.69811678,0.0952603519,-0.442305863,0.39105615,0.482346654,-0.562152147,0.546261609,1
20260911_130547_284_P01,seq_0001,2298,BeforeRender,63.506815304,4483,67,1,15,1,-1.4513309,-0.0533889383,-0.516702116,-0.630921066,0.140965834,0.0241296776,-0.762551785,68,1,15,1,-1.69611526,0.0936589837,-0.446766913,0.392056167,0.475864887,-0.577663839,0.534929216,1
20260911_130547_284_P01,seq_0001,2299,BeforeRender,63.520692304,4484,67,1,15,1,-1.44661069,-0.0536062755,-0.518695772,-0.618587554,0.103700817,0.0303713251,-0.778250098,68,1,15,1,-1.69351757,0.092309624,-0.450909257,0.390648544,0.470762819,-0.592749655,0.523855031,1
20260911_130547_284_P01,seq_0001,2300,BeforeRender,63.534675404,4485,67,1,15,1,-1.4418484,-0.0540473387,-0.521046937,-0.598994374,0.0632187352,0.037942674,-0.797351539,68,1,15,1,-1.69052315,0.0914204568,-0.454689741,0.388225675,0.46728313,-0.604332089,0.515470684,1
20260911_130547_284_P01,seq_0001,2301,BeforeRender,63.548436104,4486,67,1,15,1,-1.43714893,-0.055184152,-0.523619652,-0.575197697,0.0235029906,0.0464193672,-0.816358089,68,1,15,1,-1.68745077,0.0909187645,-0.458083868,0.385923505,0.467107505,-0.608646691,0.512272418,1
20260911_130547_284_P01,seq_0001,2302,BeforeRender,63.562480804,4487,67,1,15,1,-1.43227029,-0.0571218729,-0.5263412,-0.548438907,-0.0131156771,0.055450663,-0.834246993,68,1,15,1,-1.68441951,0.0902554244,-0.460805357,0.387899905,0.467762291,-0.606792927,0.512381136,1
20260911_130547_284_P01,seq_0001,2303,BeforeRender,63.576327504,4488,67,1,15,1,-1.42776418,-0.0591221899,-0.528683126,-0.529639721,-0.042620346,0.0630273595,-0.844803512,68,1,15,1,-1.68117654,0.0894072726,-0.463137329,0.390005887,0.471374303,-0.59858036,0.517110646,1
20260911_130547_284_P01,seq_0001,2304,BeforeRender,63.590318804,4489,67,1,15,1,-1.42291236,-0.0608944409,-0.530810714,-0.517820179,-0.0630334616,0.068751514,-0.850389481,68,1,15,1,-1.67727768,0.0885646939,-0.465125948,0.391047537,0.475598037,-0.58863461,0.523829818,1
20260911_130547_284_P01,seq_0001,2305,BeforeRender,63.604323004,4490,67,1,15,1,-1.41825259,-0.0621767528,-0.532544076,-0.514678061,-0.0789526477,0.0717694387,-0.850718677,68,1,15,1,-1.67351651,0.0879465714,-0.467500567,0.390755415,0.478628099,-0.581779778,0.528921306,1
20260911_130547_284_P01,seq_0001,2306,BeforeRender,63.618226404,4491,67,1,15,1,-1.41367042,-0.0630322471,-0.533856988,-0.520398319,-0.0895876363,0.0714396611,-0.846201062,68,1,15,1,-1.66852975,0.0879763365,-0.469177574,0.385434896,0.48588866,-0.566820979,0.542278647,1
20260911_130547_284_P01,seq_0001,2307,BeforeRender,63.632064704,4492,67,1,15,1,-1.40928686,-0.0630339235,-0.534623861,-0.539535761,-0.0923725441,0.0653661042,-0.834323645,68,1,15,1,-1.66253662,0.0883059427,-0.470368057,0.378121316,0.494087189,-0.551133037,0.556016684,1
20260911_130547_284_P01,seq_0001,2308,BeforeRender,63.646033204,4493,67,1,15,1,-1.40518546,-0.0628226325,-0.535486162,-0.556242883,-0.0986398757,0.0591580719,-0.823021591,68,1,15,1,-1.65800023,0.0884347111,-0.471234381,0.375103712,0.499286473,-0.535348654,0.56869328,1
20260911_130547_284_P01,seq_0001,2309,BeforeRender,63.659975104,4494,67,1,15,1,-1.40133238,-0.0620346442,-0.536453843,-0.572820663,-0.105054222,0.0515534766,-0.811284363,68,1,15,1,-1.65416455,0.0883019269,-0.471776098,0.374063045,0.503404319,-0.518503189,0.581219018,1
20260911_130547_284_P01,seq_0001,2310,BeforeRender,63.673913704,4495,67,1,15,1,-1.39817464,-0.0600588731,-0.537665188,-0.588608384,-0.109924763,0.0412726663,-0.799845815,68,1,15,1,-1.65105951,0.0878965482,-0.471683979,0.373829395,0.506359637,-0.502452791,0.592783988,1
20260911_130547_284_P01,seq_0001,2311,BeforeRender,63.687812804,4496,67,1,15,1,-1.3947587,-0.0591754988,-0.539068103,-0.595675111,-0.12041755,0.0356289446,-0.793348193,68,1,15,1,-1.64770532,0.087353766,-0.472069502,0.373087645,0.508070052,-0.49325192,0.599477291,1
20260911_130547_284_P01,seq_0001,2312,BeforeRender,63.701678404,4497,67,1,15,1,-1.39240372,-0.0573115125,-0.540709019,-0.600515068,-0.127996951,0.0275422111,-0.788821816,68,1,15,1,-1.64570332,0.0869598389,-0.470965564,0.368304521,0.506671369,-0.488553733,0.60741353,1
20260911_130547_284_P01,seq_0001,2313,BeforeRender,63.715637504,4498,67,1,15,1,-1.38989484,-0.0563434102,-0.542294741,-0.603440344,-0.13643916,0.0219068266,-0.785343409,68,1,15,1,-1.64315248,0.0865266472,-0.470739603,0.363824964,0.505519688,-0.484823942,0.614025235,1
20260911_130547_284_P01,seq_0001,2314,BeforeRender,63.729526404,4499,67,1,15,1,-1.38804746,-0.0555408858,-0.543725908,-0.606103301,-0.141457215,0.0172125101,-0.782516718,68,1,15,1,-1.6414659,0.0857757702,-0.469826132,0.359726131,0.500904918,-0.491069734,0.615257561,1
20260911_130547_284_P01,seq_0001,2315,BeforeRender,63.743442204,4500,67,1,15,1,-1.38570106,-0.0551389307,-0.545011759,-0.609954178,-0.147613391,0.0137020219,-0.778446317,68,1,15,1,-1.63936996,0.0848233998,-0.469730914,0.3582066,0.498595625,-0.491666764,0.617538869,1
20260911_130547_284_P01,seq_0001,2316,BeforeRender,63.757394304,4501,67,1,15,1,-1.38464224,-0.0548248291,-0.545878947,-0.61458528,-0.147251353,0.0120693445,-0.774891138,68,1,15,1,-1.63788629,0.0833999142,-0.469259501,0.36109212,0.494003236,-0.502096832,0.611123741,1
20260911_130547_284_P01,seq_0001,2317,BeforeRender,63.771351204,4502,67,1,15,1,-1.38292837,-0.0545824803,-0.546804368,-0.619150341,-0.149893016,0.0102951983,-0.770765305,68,1,15,1,-1.63635266,0.0825608298,-0.469030648,0.36395368,0.487736821,-0.508704364,0.608991325,1
20260911_130547_284_P01,seq_0001,2318,BeforeRender,63.785241104,4503,67,1,15,1,-1.38244426,-0.0544568896,-0.547200859,-0.623848081,-0.147354901,0.0107066603,-0.767454028,68,1,15,1,-1.63484669,0.0822170675,-0.468783945,0.366114259,0.481194854,-0.512456894,0.609754026,1
20260911_130547_284_P01,seq_0001,2319,BeforeRender,63.799199604,4504,67,1,15,1,-1.38186789,-0.0544560961,-0.547585189,-0.627620518,-0.147204995,0.0105061391,-0.764403701,68,1,15,1,-1.63392568,0.0826226473,-0.468103647,0.369070649,0.472202599,-0.51681602,0.611320496,1
20260911_130547_284_P01,seq_0001,2320,BeforeRender,63.813142604,4505,67,1,15,1,-1.38227355,-0.0553287193,-0.547558129,-0.629753888,-0.146862462,0.0104786316,-0.762713492,68,1,15,1,-1.63372231,0.084117204,-0.466985583,0.373111397,0.460462809,-0.51934737,0.615662515,1
